,contribution_date,sum,count
0,2013-01-01,9878.94,167
1,2013-01-02,8158.56,304
2,2013-01-03,5105.8,201
3,2013-01-04,5070.5,159
4,2013-01-05,5453.94,140
5,2013-01-06,1922.65,75
6,2013-01-07,3934.05,50
7,2013-01-08,8805.86,176
8,2013-01-09,29203.31,354
9,2013-01-10,10161.63,335
10,2013-01-11,17382.06,432
11,2013-01-12,41151.55,983
12,2013-01-13,14073.9,373
13,2013-01-14,36712.26,1825
14,2013-01-15,81196.94,3790
15,2013-01-16,36795.08,907
16,2013-01-17,32528.74,1392
17,2013-01-18,47551.34,3306
18,2013-01-19,22765.02,1597
19,2013-01-20,8854.15,640
20,2013-01-21,19515.75,515
21,2013-01-22,15088.14,296
22,2013-01-23,89981.66,6187
23,2013-01-24,56207.56,1913
24,2013-01-25,60346.69,1844
25,2013-01-26,15194.23,942
26,2013-01-27,34867.32,2600
27,2013-01-28,29461.15,1176
28,2013-01-29,26674.08,594
29,2013-01-30,39379.0,752
30,2013-01-31,79784.06,745
31,2013-02-01,27243.42,480
32,2013-02-02,60057.27,2337
33,2013-02-03,22880.8,586
34,2013-02-04,46458.2,627
35,2013-02-05,89883.13,1960
36,2013-02-06,80520.14,1101
37,2013-02-07,53437.69,577
38,2013-02-08,23341.34,275
39,2013-02-09,21288.6,233
40,2013-02-10,31803.74,1233
41,2013-02-11,33137.94,643
42,2013-02-12,52793.77,4727
43,2013-02-13,89821.21,3891
44,2013-02-14,57752.23,1629
45,2013-02-15,63564.94,1458
46,2013-02-16,13625.85,506
47,2013-02-17,12467.94,337
48,2013-02-18,41338.98,955
49,2013-02-19,63660.3,629
50,2013-02-20,70379.12,1377
51,2013-02-21,74368.41,1504
52,2013-02-22,55532.28,539
53,2013-02-23,19609.23,232
54,2013-02-24,16970.0,151
55,2013-02-25,53324.25,280
56,2013-02-26,63457.7,541
57,2013-02-27,90219.57,899
58,2013-02-28,171427.91,4102
59,2013-03-01,60816.38,1870
60,2013-03-02,19748.32,526
61,2013-03-03,16948.53,475
62,2013-03-04,53844.22,485
63,2013-03-05,45189.07,612
64,2013-03-06,55229.85,744
65,2013-03-07,50146.41,409
66,2013-03-08,42360.63,447
67,2013-03-09,46488.35,307
68,2013-03-10,12005.59,343
69,2013-03-11,67565.04,764
70,2013-03-12,72841.11,1526
71,2013-03-13,82771.33,796
72,2013-03-14,61122.24,684
73,2013-03-15,63041.38,984
74,2013-03-16,29099.84,502
75,2013-03-17,32774.27,345
76,2013-03-18,123192.55,2600
77,2013-03-19,69353.18,1117
78,2013-03-20,65782.73,575
79,2013-03-21,81757.16,3019
80,2013-03-22,89271.1,1692
81,2013-03-23,30296.89,1183
82,2013-03-24,35766.88,582
83,2013-03-25,98570.72,1557
84,2013-03-26,139472.34,2649
85,2013-03-27,215410.95,5428
86,2013-03-28,191679.18,3681
87,2013-03-29,187182.91,2405
88,2013-03-30,246372.06,6572
89,2013-03-31,231255.29,3929
90,2013-04-01,54762.14,725
91,2013-04-02,65436.86,1483
92,2013-04-03,118993.69,2645
93,2013-04-04,75210.56,925
94,2013-04-05,63048.45,687
95,2013-04-06,32815.09,759
96,2013-04-07,31909.2,543
97,2013-04-08,49751.56,552
98,2013-04-09,48222.89,474
99,2013-04-10,42556.07,951
100,2013-04-11,120445.31,1846
101,2013-04-12,47665.88,588
102,2013-04-13,12921.67,602
103,2013-04-14,32469.37,2166
104,2013-04-15,83397.12,1633
105,2013-04-16,31720.03,496
106,2013-04-17,215824.29,4202
107,2013-04-18,98125.38,1718
108,2013-04-19,47813.68,572
109,2013-04-20,22369.35,357
110,2013-04-21,19498.61,376
111,2013-04-22,109156.66,3382
112,2013-04-23,80459.55,3396
113,2013-04-24,87076.79,2905
114,2013-04-25,69976.21,2189
115,2013-04-26,51604.88,1366
116,2013-04-27,59395.03,2307
117,2013-04-28,38995.44,722
118,2013-04-29,128416.85,2695
119,2013-04-30,145676.44,3472
120,2013-05-01,86846.03,2067
121,2013-05-02,101767.39,2360
122,2013-05-03,97644.26,2198
123,2013-05-04,42335.65,1286
124,2013-05-05,44739.89,1038
125,2013-05-06,111709.17,2521
126,2013-05-07,80499.76,1405
127,2013-05-08,45261.22,1227
128,2013-05-09,65650.27,2297
129,2013-05-10,34410.06,1036
130,2013-05-11,16409.01,285
131,2013-05-12,11306.36,284
132,2013-05-13,32383.33,285
133,2013-05-14,50690.66,906
134,2013-05-15,39703.71,919
135,2013-05-16,48740.65,1149
136,2013-05-17,37158.84,1496
137,2013-05-18,27428.55,1260
138,2013-05-19,29955.43,703
139,2013-05-20,68459.08,909
140,2013-05-21,52165.25,445
141,2013-05-22,46627.15,782
142,2013-05-23,55094.22,869
143,2013-05-24,45262.89,585
144,2013-05-25,10855.03,271
145,2013-05-26,12752.83,237
146,2013-05-27,16887.92,347
147,2013-05-28,72302.28,915
148,2013-05-29,75966.29,1123
149,2013-05-30,89686.85,1401
150,2013-05-31,158209.25,3589
151,2013-06-01,30978.04,1032
152,2013-06-02,13498.46,339
153,2013-06-03,36608.79,353
154,2013-06-04,72912.35,1234
155,2013-06-05,64272.6,1203
156,2013-06-06,94773.62,928
157,2013-06-07,106174.0,835
158,2013-06-08,73370.23,1109
159,2013-06-09,93583.0,700
160,2013-06-10,102148.75,960
161,2013-06-11,105714.47,1520
162,2013-06-12,97824.94,849
163,2013-06-13,85170.97,893
164,2013-06-14,77255.82,672
165,2013-06-15,72864.74,1081
166,2013-06-16,51126.9,250
167,2013-06-17,95438.74,420
168,2013-06-18,161971.72,4265
169,2013-06-19,88170.44,1818
170,2013-06-20,134973.06,1866
171,2013-06-21,78468.99,1785
172,2013-06-22,56188.74,1308
173,2013-06-23,75133.85,2499
174,2013-06-24,136435.46,2154
175,2013-06-25,204516.65,5866
176,2013-06-26,166892.29,3604
177,2013-06-27,266028.66,4560
178,2013-06-28,370803.75,6682
179,2013-06-29,196527.53,4184
180,2013-06-30,479761.74,10489
181,2013-07-01,74401.68,1900
182,2013-07-02,42555.96,1127
183,2013-07-03,31800.67,749
184,2013-07-04,11738.35,337
185,2013-07-05,9480.39,224
186,2013-07-06,15594.89,177
187,2013-07-07,11468.39,215
188,2013-07-08,25371.84,388
189,2013-07-09,53720.96,901
190,2013-07-10,40889.34,847
191,2013-07-11,59381.68,808
192,2013-07-12,28993.33,451
193,2013-07-13,33705.28,1188
194,2013-07-14,22136.69,624
195,2013-07-15,36674.92,649
196,2013-07-16,60910.89,636
197,2013-07-17,50310.55,1276
198,2013-07-18,77562.4,980
199,2013-07-19,36471.09,695
200,2013-07-20,17809.8,617
201,2013-07-21,18879.56,350
202,2013-07-22,41376.6,888
203,2013-07-23,127288.99,3805
204,2013-07-24,109095.76,4531
205,2013-07-25,92861.13,2108
206,2013-07-26,51092.32,1152
207,2013-07-27,25877.09,915
208,2013-07-28,23538.64,626
209,2013-07-29,87418.49,1225
210,2013-07-30,102728.78,2013
211,2013-07-31,129646.97,2744
212,2013-08-01,54177.07,1367
213,2013-08-02,34648.92,468
214,2013-08-03,21642.23,291
215,2013-08-04,12881.18,229
216,2013-08-05,53792.94,550
217,2013-08-06,47592.71,670
218,2013-08-07,52528.5,1236
219,2013-08-08,44683.01,703
220,2013-08-09,33392.0,813
221,2013-08-10,9789.59,238
222,2013-08-11,18043.98,266
223,2013-08-12,25313.88,312
224,2013-08-13,35444.53,727
225,2013-08-14,84489.05,2827
226,2013-08-15,45213.22,2424
227,2013-08-16,50082.36,1607
228,2013-08-17,17308.46,502
229,2013-08-18,15234.72,773
230,2013-08-19,51976.56,1099
231,2013-08-20,41977.29,1505
232,2013-08-21,51068.36,1781
233,2013-08-22,53398.31,2199
234,2013-08-23,47871.17,1210
235,2013-08-24,18989.5,820
236,2013-08-25,22437.94,632
237,2013-08-26,47139.25,729
238,2013-08-27,70192.94,1684
239,2013-08-28,65604.55,1683
240,2013-08-29,96645.28,2630
241,2013-08-30,68967.97,1750
242,2013-08-31,62825.54,1487
243,2013-09-01,16516.76,408
244,2013-09-02,10369.37,305
245,2013-09-03,64102.52,436
246,2013-09-04,58940.65,553
247,2013-09-05,66692.26,591
248,2013-09-06,33916.04,372
249,2013-09-07,32863.93,633
250,2013-09-08,30138.0,371
251,2013-09-09,30350.81,400
252,2013-09-10,44848.27,417
253,2013-09-11,44034.52,351
254,2013-09-12,65156.17,877
255,2013-09-13,58067.23,1110
256,2013-09-14,14048.28,433
257,2013-09-15,30013.09,420
258,2013-09-16,79440.36,525
259,2013-09-17,92295.58,2076
260,2013-09-18,108112.58,2654
261,2013-09-19,127145.21,2852
262,2013-09-20,141436.43,2315
263,2013-09-21,50727.12,1292
264,2013-09-22,54081.45,842
265,2013-09-23,183698.37,3821
266,2013-09-24,226678.91,8394
267,2013-09-25,238521.32,7846
268,2013-09-26,247713.93,5052
269,2013-09-27,285277.52,5813
270,2013-09-28,189553.85,6470
271,2013-09-29,261910.35,7133
272,2013-09-30,876594.09,12030
273,2013-10-01,106485.32,1548
274,2013-10-02,38615.83,719
275,2013-10-03,56657.19,1055
276,2013-10-04,46905.79,955
277,2013-10-05,23171.5,335
278,2013-10-06,31521.35,525
279,2013-10-07,46811.44,878
280,2013-10-08,56561.76,1177
281,2013-10-09,62249.74,1519
282,2013-10-10,40680.01,660
283,2013-10-11,54266.84,2651
284,2013-10-12,19005.94,803
285,2013-10-13,35478.94,924
286,2013-10-14,47543.98,1292
287,2013-10-15,31839.25,683
288,2013-10-16,39255.72,588
289,2013-10-17,52530.89,727
290,2013-10-18,50354.05,967
291,2013-10-19,21358.69,530
292,2013-10-20,34125.42,873
293,2013-10-21,52429.39,665
294,2013-10-22,55702.39,1816
295,2013-10-23,73470.16,1697
296,2013-10-24,118173.53,2675
297,2013-10-25,74251.51,2495
298,2013-10-26,37770.64,2196
299,2013-10-27,26466.47,1714
300,2013-10-28,59403.01,2227
301,2013-10-29,127316.27,2780
302,2013-10-30,150902.2,3908
303,2013-10-31,249863.4,5623
304,2013-11-01,62576.13,1394
305,2013-11-02,20430.24,406
306,2013-11-03,46893.59,3524
307,2013-11-04,103077.1,3256
308,2013-11-05,46741.91,804
309,2013-11-06,43307.03,1533
310,2013-11-07,67028.09,3081
311,2013-11-08,36763.7,1870
312,2013-11-09,22601.95,768
313,2013-11-10,18423.56,597
314,2013-11-11,34065.39,620
315,2013-11-12,39128.07,922
316,2013-11-13,57556.31,2525
317,2013-11-14,61346.77,2022
318,2013-11-15,73508.67,3302
319,2013-11-16,69868.73,4163
320,2013-11-17,34862.82,1397
321,2013-11-18,88029.79,1697
322,2013-11-19,75586.08,1964
323,2013-11-20,92976.84,2047
324,2013-11-21,96351.39,2638
325,2013-11-22,85468.79,3735
326,2013-11-23,68628.74,3462
327,2013-11-24,31465.36,1343
328,2013-11-25,81607.74,1474
329,2013-11-26,100366.37,2254
330,2013-11-27,39861.64,1150
331,2013-11-28,10591.05,437
332,2013-11-29,38424.57,1083
333,2013-11-30,110622.62,3549
334,2013-12-01,46942.85,1274
335,2013-12-02,56203.18,841
336,2013-12-03,88287.85,1167
337,2013-12-04,75987.64,946
338,2013-12-05,103356.44,1704
339,2013-12-06,141467.91,5125
340,2013-12-07,66303.34,2698
341,2013-12-08,32775.0,1156
342,2013-12-09,99252.93,2941
343,2013-12-10,156572.7,5968
344,2013-12-11,101894.97,2523
345,2013-12-12,116208.23,2436
346,2013-12-13,180188.38,7149
347,2013-12-14,61297.81,2556
348,2013-12-15,48659.73,1838
349,2013-12-16,85470.14,1906
350,2013-12-17,149422.85,5109
351,2013-12-18,144949.19,2083
352,2013-12-19,154888.34,2134
353,2013-12-20,154614.86,1653
