,contribution_date,sum,count
0,2013-01-01,35189.95,1749
1,2013-01-02,20131.95,991
2,2013-01-03,69351.58,4358
3,2013-01-04,34018.57,1400
4,2013-01-05,17418.41,666
5,2013-01-06,12100.46,642
6,2013-01-07,40888.69,1919
7,2013-01-08,39004.71,2779
8,2013-01-09,48775.86,1412
9,2013-01-10,73739.31,4289
10,2013-01-11,80169.17,4590
11,2013-01-12,91549.78,4094
12,2013-01-13,37373.16,1750
13,2013-01-14,58261.62,3025
14,2013-01-15,113114.8,5741
15,2013-01-16,98394.2,5371
16,2013-01-17,72469.45,3992
17,2013-01-18,89548.32,6084
18,2013-01-19,36947.11,2944
19,2013-01-20,27382.28,2024
20,2013-01-21,42523.36,1732
21,2013-01-22,30132.89,1356
22,2013-01-23,108222.56,7914
23,2013-01-24,113107.56,4491
24,2013-01-25,88052.61,3801
25,2013-01-26,38016.1,2782
26,2013-01-27,75986.02,6613
27,2013-01-28,209224.17,9297
28,2013-01-29,231997.51,11605
29,2013-01-30,295836.25,12471
30,2013-01-31,602220.11,26179
31,2013-02-01,120371.17,4710
32,2013-02-02,81570.97,4122
33,2013-02-03,33997.42,1440
34,2013-02-04,72022.63,1682
35,2013-02-05,142582.31,6730
36,2013-02-06,116147.99,4502
37,2013-02-07,92342.89,3840
38,2013-02-08,55332.77,2309
39,2013-02-09,41570.7,1011
40,2013-02-10,54311.14,2612
41,2013-02-11,81784.8,3628
42,2013-02-12,91197.27,7238
43,2013-02-13,125534.82,7234
44,2013-02-14,103289.34,4394
45,2013-02-15,178626.38,6321
46,2013-02-16,60931.83,3718
47,2013-02-17,33460.74,1942
48,2013-02-18,105393.74,4038
49,2013-02-19,112986.59,3946
50,2013-02-20,216658.92,8995
51,2013-02-21,379685.56,16413
52,2013-02-22,196651.66,7586
53,2013-02-23,68436.14,2851
54,2013-02-24,92620.26,2906
55,2013-02-25,418786.66,18141
56,2013-02-26,302739.42,12060
57,2013-02-27,559934.13,20517
58,2013-02-28,1272402.48,60236
59,2013-03-01,249347.7,9704
60,2013-03-02,43536.11,1998
61,2013-03-03,35017.03,1614
62,2013-03-04,94543.3,1498
63,2013-03-05,72858.82,1843
64,2013-03-06,95654.1,2356
65,2013-03-07,79331.33,1922
66,2013-03-08,109158.4,3065
67,2013-03-09,124197.28,1300
68,2013-03-10,36420.5,2454
69,2013-03-11,137040.92,3397
70,2013-03-12,185561.55,6858
71,2013-03-13,180911.58,6544
72,2013-03-14,155747.39,5613
73,2013-03-15,200443.83,7375
74,2013-03-16,84325.87,3897
75,2013-03-17,72342.51,4023
76,2013-03-18,168534.68,5431
77,2013-03-19,149260.48,6188
78,2013-03-20,263792.31,13141
79,2013-03-21,634893.92,33772
80,2013-03-22,264319.21,12238
81,2013-03-23,81058.77,4065
82,2013-03-24,64159.21,2141
83,2013-03-25,165548.29,5675
84,2013-03-26,217314.5,7536
85,2013-03-27,378285.47,15831
86,2013-03-28,499254.77,19667
87,2013-03-29,634385.82,28049
88,2013-03-30,705318.32,32703
89,2013-03-31,704474.13,27653
90,2013-04-01,157064.82,4694
91,2013-04-02,124959.89,3207
92,2013-04-03,168299.06,4552
93,2013-04-04,161957.15,4832
94,2013-04-05,165615.39,3971
95,2013-04-06,74758.15,5004
96,2013-04-07,84030.72,3147
97,2013-04-08,85574.49,3014
98,2013-04-09,156813.68,2821
99,2013-04-10,139680.3,4090
100,2013-04-11,202860.87,4897
101,2013-04-12,105973.52,2473
102,2013-04-13,59392.04,3265
103,2013-04-14,64826.8,3899
104,2013-04-15,149811.93,4177
105,2013-04-16,86545.8,1665
106,2013-04-17,408365.92,15328
107,2013-04-18,325463.92,14764
108,2013-04-19,96839.88,3425
109,2013-04-20,43596.09,1980
110,2013-04-21,74319.03,5729
111,2013-04-22,281600.33,14758
112,2013-04-23,261865.49,15263
113,2013-04-24,278283.65,15348
114,2013-04-25,244466.99,11390
115,2013-04-26,250422.29,10253
116,2013-04-27,293789.05,13224
117,2013-04-28,212011.3,11164
118,2013-04-29,424614.98,17814
119,2013-04-30,638291.09,31441
120,2013-05-01,225406.79,8303
121,2013-05-02,324418.43,13802
122,2013-05-03,374444.78,17200
123,2013-05-04,215765.91,12013
124,2013-05-05,287410.32,15813
125,2013-05-06,467120.85,23780
126,2013-05-07,219025.59,5396
127,2013-05-08,117611.22,3746
128,2013-05-09,237575.22,6011
129,2013-05-10,96558.87,3323
130,2013-05-11,39677.25,2212
131,2013-05-12,26442.16,1206
132,2013-05-13,111779.2,1725
133,2013-05-14,136841.38,3871
134,2013-05-15,94895.7,3279
135,2013-05-16,143838.73,5021
136,2013-05-17,87300.95,4093
137,2013-05-18,47732.16,2953
138,2013-05-19,59334.14,1841
139,2013-05-20,115682.14,2417
140,2013-05-21,124102.67,2557
141,2013-05-22,106006.03,4083
142,2013-05-23,167493.11,5330
143,2013-05-24,141375.87,3777
144,2013-05-25,42291.82,2192
145,2013-05-26,65789.91,2471
146,2013-05-27,50550.06,2412
147,2013-05-28,199558.09,6462
148,2013-05-29,304394.33,14733
149,2013-05-30,331966.53,15780
150,2013-05-31,542816.44,27214
151,2013-06-01,105118.34,7090
152,2013-06-02,49063.17,2215
153,2013-06-03,121233.1,2910
154,2013-06-04,139839.68,3508
155,2013-06-05,141319.69,3521
156,2013-06-06,154189.4,2906
157,2013-06-07,125494.78,1587
158,2013-06-08,102752.47,2710
159,2013-06-09,179249.11,3631
160,2013-06-10,324072.76,6362
161,2013-06-11,268722.02,7157
162,2013-06-12,257903.35,8208
163,2013-06-13,179806.1,5213
164,2013-06-14,177575.51,3657
165,2013-06-15,122505.93,3923
166,2013-06-16,78988.12,1502
167,2013-06-17,195012.57,4337
168,2013-06-18,255347.02,9498
169,2013-06-19,166645.78,5692
170,2013-06-20,260010.47,8700
171,2013-06-21,193946.3,7659
172,2013-06-22,105695.78,4510
173,2013-06-23,128781.84,5194
174,2013-06-24,308551.82,11216
175,2013-06-25,344630.19,14293
176,2013-06-26,311919.3,12304
177,2013-06-27,566243.12,21314
178,2013-06-28,621197.63,20203
179,2013-06-29,424981.18,17043
180,2013-06-30,910791.23,36277
181,2013-07-01,161776.41,7060
182,2013-07-02,168108.92,5050
183,2013-07-03,82762.07,3818
184,2013-07-04,38434.34,1438
185,2013-07-05,26636.23,1177
186,2013-07-06,26708.12,1009
187,2013-07-07,26994.39,1405
188,2013-07-08,57545.45,2511
189,2013-07-09,192703.78,7086
190,2013-07-10,87900.07,3255
191,2013-07-11,167934.86,6812
192,2013-07-12,148936.39,6899
193,2013-07-13,88994.74,4998
194,2013-07-14,63553.96,2925
195,2013-07-15,85053.72,3088
196,2013-07-16,130284.29,3380
197,2013-07-17,202450.32,10861
198,2013-07-18,250998.55,11231
199,2013-07-19,152742.4,6577
200,2013-07-20,63137.37,3045
201,2013-07-21,56040.63,3585
202,2013-07-22,112913.74,3447
203,2013-07-23,230328.3,8055
204,2013-07-24,271590.12,14189
205,2013-07-25,218660.35,9202
206,2013-07-26,210156.19,9753
207,2013-07-27,91081.98,5475
208,2013-07-28,101505.3,5361
209,2013-07-29,279394.15,12500
210,2013-07-30,323952.83,14966
211,2013-07-31,507732.72,24600
212,2013-08-01,165032.66,8443
213,2013-08-02,100832.57,3571
214,2013-08-03,53892.63,2480
215,2013-08-04,31473.5,1362
216,2013-08-05,91317.32,2111
217,2013-08-06,88255.85,2036
218,2013-08-07,116098.19,4314
219,2013-08-08,123456.69,5208
220,2013-08-09,103034.43,4370
221,2013-08-10,34012.63,1993
222,2013-08-11,39440.57,1730
223,2013-08-12,84105.75,1493
224,2013-08-13,109798.03,2483
225,2013-08-14,141303.68,5098
226,2013-08-15,148284.51,8373
227,2013-08-16,129764.28,5433
228,2013-08-17,45397.59,2118
229,2013-08-18,37288.2,2644
230,2013-08-19,129480.58,5136
231,2013-08-20,145791.73,6853
232,2013-08-21,187458.97,9745
233,2013-08-22,144517.93,7795
234,2013-08-23,136982.69,3869
235,2013-08-24,61609.81,3084
236,2013-08-25,58576.64,2374
237,2013-08-26,127364.2,4147
238,2013-08-27,165489.51,6291
239,2013-08-28,235757.7,11143
240,2013-08-29,275768.24,13471
241,2013-08-30,291515.98,15973
242,2013-08-31,480343.88,25947
243,2013-09-01,81624.59,4915
244,2013-09-02,55403.47,2330
245,2013-09-03,110003.17,2729
246,2013-09-04,90036.44,2253
247,2013-09-05,115659.13,2050
248,2013-09-06,96252.15,2011
249,2013-09-07,49438.76,1998
250,2013-09-08,46608.09,1671
251,2013-09-09,58559.89,1408
252,2013-09-10,147658.27,5527
253,2013-09-11,109527.09,3044
254,2013-09-12,203560.86,6994
255,2013-09-13,166446.98,6903
256,2013-09-14,51319.11,2175
257,2013-09-15,64625.42,2515
258,2013-09-16,129923.86,2365
259,2013-09-17,359374.31,15269
260,2013-09-18,456196.18,22552
261,2013-09-19,488273.62,23739
262,2013-09-20,502345.53,21365
263,2013-09-21,170038.71,8893
264,2013-09-22,177242.2,7669
265,2013-09-23,370517.65,11036
266,2013-09-24,324011.02,14402
267,2013-09-25,538658.89,24981
268,2013-09-26,561155.37,23978
269,2013-09-27,516550.43,19397
270,2013-09-28,638207.86,34571
271,2013-09-29,894917.13,47267
272,2013-09-30,1985860.2,75543
273,2013-10-01,370993.64,16064
274,2013-10-02,213862.43,9851
275,2013-10-03,201931.95,5117
276,2013-10-04,218673.55,6792
277,2013-10-05,97115.34,5232
278,2013-10-06,337064.15,20678
279,2013-10-07,321122.83,16222
280,2013-10-08,323131.94,11349
281,2013-10-09,224068.42,10054
282,2013-10-10,232262.03,10271
283,2013-10-11,196177.83,10776
284,2013-10-12,133020.38,8015
285,2013-10-13,130199.36,7192
286,2013-10-14,163551.15,6829
287,2013-10-15,363970.62,18423
288,2013-10-16,214725.18,10144
289,2013-10-17,157019.26,6390
290,2013-10-18,184203.24,5080
291,2013-10-19,52879.25,2552
292,2013-10-20,66198.37,3161
293,2013-10-21,136852.71,6421
294,2013-10-22,181528.11,7560
295,2013-10-23,189227.66,7466
296,2013-10-24,249689.94,10182
297,2013-10-25,134642.45,5811
298,2013-10-26,119807.2,7284
299,2013-10-27,133848.58,8663
300,2013-10-28,228188.74,10915
301,2013-10-29,351247.38,15878
302,2013-10-30,518699.83,26063
303,2013-10-31,798407.52,35437
304,2013-11-01,140019.82,5769
305,2013-11-02,74142.19,4260
306,2013-11-03,87425.05,5671
307,2013-11-04,168692.24,6864
308,2013-11-05,122325.51,4890
309,2013-11-06,168842.31,8649
310,2013-11-07,142265.85,7429
311,2013-11-08,99006.65,5080
312,2013-11-09,63313.7,2645
313,2013-11-10,40368.95,2200
314,2013-11-11,89253.24,1791
315,2013-11-12,88205.21,2478
316,2013-11-13,110385.88,4376
317,2013-11-14,145078.65,5377
318,2013-11-15,192154.78,8561
319,2013-11-16,149416.95,9481
320,2013-11-17,123749.13,6558
321,2013-11-18,344418.89,10590
322,2013-11-19,185354.77,6419
323,2013-11-20,305654.98,8169
324,2013-11-21,326708.27,14015
325,2013-11-22,322363.13,14323
326,2013-11-23,241265.39,11192
327,2013-11-24,132839.46,5876
328,2013-11-25,209970.82,8443
329,2013-11-26,377117.32,9460
330,2013-11-27,166820.65,6375
331,2013-11-28,47300.37,3223
332,2013-11-29,287856.42,16146
333,2013-11-30,545643.36,29924
334,2013-12-01,101538.64,5046
335,2013-12-02,128142.71,3177
336,2013-12-03,158812.04,3654
337,2013-12-04,139461.42,4571
338,2013-12-05,171621.27,5802
339,2013-12-06,195114.42,8529
340,2013-12-07,100073.14,6106
341,2013-12-08,72181.79,4406
342,2013-12-09,180563.04,6535
343,2013-12-10,220935.7,10389
344,2013-12-11,208841.41,6555
345,2013-12-12,192909.75,6629
