,count,count_of_count,percent
0,652,4,0.00012298682103972444
1,273,43,0.0013221083261770376
2,51,2334,0.0717628100766792
3,839,1,3.074670525993111e-05
4,70,1310,0.04027818389050975
5,1075,2,6.149341051986222e-05
6,350,21,0.0006456808104585533
7,758,2,6.149341051986222e-05
8,539,3,9.224011577979332e-05
9,1128,1,3.074670525993111e-05
10,874,1,3.074670525993111e-05
11,278,42,0.0012913616209171066
12,1136,1,3.074670525993111e-05
13,176,147,0.004519765673209873
14,1494,1,3.074670525993111e-05
15,576,5,0.00015373352629965555
16,1045,1,3.074670525993111e-05
17,292,41,0.0012606149156571755
18,929,1,3.074670525993111e-05
19,663,2,6.149341051986222e-05
20,1307,1,3.074670525993111e-05
21,770,2,6.149341051986222e-05
22,271,47,0.001445095147216762
23,22,14272,0.4388169774697368
24,1493,2,6.149341051986222e-05
25,417,13,0.0003997071683791044
26,1373,1,3.074670525993111e-05
27,764,3,9.224011577979332e-05
28,556,5,0.00015373352629965555
29,529,14,0.0004304538736390355
30,638,5,0.00015373352629965555
31,1268,1,3.074670525993111e-05
32,791,2,6.149341051986222e-05
33,775,2,6.149341051986222e-05
34,940,2,6.149341051986222e-05
35,390,14,0.0004304538736390355
36,173,157,0.004827232725809184
37,42,4628,0.14229575194296118
38,189,128,0.003935578273271182
39,876,3,9.224011577979332e-05
40,161,171,0.0052576865994482195
41,113,418,0.012852122798651203
42,632,3,9.224011577979332e-05
43,658,4,0.00012298682103972444
44,120,436,0.013405563493329962
45,802,2,6.149341051986222e-05
46,578,8,0.0002459736420794489
47,815,1,3.074670525993111e-05
48,695,2,6.149341051986222e-05
49,440,11,0.0003382137578592422
50,57,1987,0.061093703351483106
51,19,16775,0.5157759807353444
52,160,202,0.006210834462506084
53,644,3,9.224011577979332e-05
54,824,1,3.074670525993111e-05
55,1857,1,3.074670525993111e-05
56,508,2,6.149341051986222e-05
57,1262,1,3.074670525993111e-05
58,1194,1,3.074670525993111e-05
59,357,23,0.0007071742209784154
60,769,4,0.00012298682103972444
61,266,46,0.001414348441956831
62,1550,1,3.074670525993111e-05
63,315,23,0.0007071742209784154
64,366,26,0.0007994143367582088
65,307,36,0.0011068813893575198
66,1644,1,3.074670525993111e-05
67,841,1,3.074670525993111e-05
68,91,728,0.02238360142922985
69,803,6,0.00018448023155958663
70,305,28,0.000860907747278071
71,54,2213,0.06804245874022755
72,181,115,0.0035358711048920776
73,1312,1,3.074670525993111e-05
