,contributor_state,recipient_state,count,sum
0,CA,8M,3,1699.0
1,AA,AK,2,2.25
2,AB,AK,2,9.23
3,AE,AK,11,216.38
4,AK,AK,7285,504390.8
5,AL,AK,97,413.8
6,AP,AK,4,39.35
7,AR,AK,47,150.07
8,AZ,AK,254,3371.76
9,BC,AK,10,2866.48
10,CA,AK,7576,242490.14
11,CO,AK,532,8837.67
12,CT,AK,377,6551.21
13,DC,AK,781,23912.89
14,DE,AK,49,218.68
15,FL,AK,446,7594.1
16,GA,AK,291,2797.56
17,GU,AK,2,50.0
18,HI,AK,83,965.7
19,IA,AK,81,513.97
20,ID,AK,64,1029.23
21,IL,AK,1350,18443.1
22,IN,AK,185,1942.66
23,KS,AK,76,514.39
24,KY,AK,114,851.7
25,LA,AK,77,572.77
26,MA,AK,1928,30715.36
27,MD,AK,761,12833.77
28,ME,AK,105,1754.88
29,MI,AK,410,3437.28
30,MN,AK,527,7174.29
31,MO,AK,208,1882.17
32,MS,AK,18,125.22
33,MT,AK,35,352.17
34,NC,AK,432,3927.82
35,ND,AK,18,130.08
36,NE,AK,47,154.48
37,NH,AK,119,1410.66
38,NJ,AK,677,5043.46
39,NM,AK,141,1134.86
40,NV,AK,74,1015.3
41,NY,AK,3972,64598.97
42,OH,AK,403,3424.78
43,OK,AK,47,315.4
44,ON,AK,16,207.92
45,OR,AK,810,12973.59
46,PA,AK,971,10452.85
47,PR,AK,12,50.25
48,QC,AK,8,1034.34
49,RI,AK,133,1198.3
50,SC,AK,95,744.13
51,SD,AK,16,122.26
52,TN,AK,180,966.93
53,TX,AK,872,10042.78
54,UT,AK,122,1329.76
55,VA,AK,782,11177.41
56,VI,AK,1,1.0
57,VT,AK,105,1249.39
58,WA,AK,1696,43517.71
59,WI,AK,254,1575.81
60,WV,AK,34,218.82
61,WY,AK,19,405.68
62,ZZ,AK,132,2948.97
63,AA,AL,85,3032.0
64,AB,AL,47,3555.5
65,AE,AL,269,15215.68
66,AK,AL,1979,44867.85
67,AL,AL,36944,2150126.17
68,AP,AL,130,4451.5
69,AR,AL,2248,51099.01
70,AS,AL,29,545.5
71,AZ,AL,11728,219851.13
72,BC,AL,176,3627.0
73,CA,AL,161274,4655006.22
74,CO,AL,19338,411953.28
75,CT,AL,13405,382955.12
76,DC,AL,10132,557415.21
77,DE,AL,2126,51512.18
78,FL,AL,34076,790882.99
79,GA,AL,14935,405184.7
80,GU,AL,37,743.0
81,HE,AL,35,156.0
82,HI,AL,3196,63274.69
83,IA,AL,3680,67964.22
84,ID,AL,2216,41753.98
85,IL,AL,30944,791694.01
86,IN,AL,6300,130122.73
87,KS,AL,3399,61024.42
88,KY,AL,4080,91894.94
89,LA,AL,4257,107028.21
90,MA,AL,42540,1407739.81
91,MB,AL,13,50.0
92,MD,AL,18013,596963.22
93,ME,AL,4705,100429.08
94,MI,AL,15642,309840.79
95,MN,AL,12708,263776.71
96,MO,AL,8260,163377.89
97,MP,AL,15,217.5
98,MS,AL,1422,45671.12
99,MT,AL,1672,34804.81
100,NC,AL,15906,344621.62
101,ND,AL,419,8688.0
102,NE,AL,1876,32755.53
103,NH,AL,4373,100354.83
104,NJ,AL,22611,531485.2
