,contributor_state,count,sum,percent
0,AA,1171,32321.83,0.007000703986758895
1,AB,415,10634.25,0.0023033113029550236
2,AE,3985,145913.15,0.03160386558946534
3,AK,31850,778700.32,0.16866156510056599
4,AL,73166,2645641.77,0.5730292773266507
5,AP,2024,55791.73,0.012084135911833452
6,AR,34723,1124713.17,0.24360576035389186
7,AS,349,5096.83,0.0011039411475412232
8,AZ,263018,7774687.21,1.6839480854534035
9,BC,2600,48297.03,0.010460831285530985
10,BS,1,25.0,5.414841909290791e-06
11,BW,11,113.0,2.4475085429994373e-05
12,CA,2726271,96308858.39,20.859889705844957
13,CO,278355,7652925.44,1.6575752560475867
14,CT,272245,9578866.59,2.0747219302014943
15,DC,134463,12593293.48,2.727627732460099
16,DE,35355,982384.17,0.21277819898959396
17,FL,607719,20856355.01,4.517354607327798
18,GA,177847,5646006.66,1.2228893393081168
19,GU,508,17440.56,0.0037775150083800236
20,HE,40,178.0,3.855367439415043e-05
21,HH,2,15.0,3.248905145574474e-06
22,HI,65478,1825880.49,0.39547416794433615
23,IA,70679,2168822.93,0.46975333180779394
24,ID,34910,579568.96,0.12553097175728312
25,IL,503670,16872490.31,3.6544747057876306
26,IN,127761,3871877.24,0.8386241258712464
27,KS,69908,2300679.03,0.4983125292588193
28,KY,61756,2133170.91,0.4620313297259189
29,LA,46712,1208576.29,0.2617699818266872
30,MA,630936,24027085.11,5.204114696468989
31,MB,304,3303.64,0.000715547533008377
32,MD,292195,12262350.7,2.6559476190712505
33,ME,72097,2168314.12,0.46964312677931924
34,MI,297021,8773272.4,1.9002353229257678
35,MN,248668,7978786.7,1.728154744338079
36,MO,176421,6260989.44,1.3560907205335633
37,MP,159,3376.0,0.0007312202514306284
38,MS,13542,482341.27,0.1044720689350618
39,MT,87334,3731563.4,0.8082330354198253
40,NA,1,15.0,3.248905145574474e-06
41,NB,46,2012.69,0.0004359359264964193
42,NC,213208,5858935.52,1.2690083839011372
43,ND,12254,624183.09,0.135194110192105
44,NE,40472,1451639.32,0.3144158970844154
45,NH,76486,2273943.26,0.4925217305438929
46,NJ,341758,11386807.73,2.4663105483776135
47,NL,25,867.5,0.00018789501425239044
48,NM,162131,4466523.13,0.9674206653256271
49,NS,217,3920.25,0.0008491013597958888
50,NT,27,349.0,7.559119305369944e-05
51,NU,9,149.0,3.227245777937311e-05
52,NV,89061,3286783.6,0.7118965433619864
53,NY,1272673,55822097.85,12.090713396108454
54,OH,307173,8444581.47,1.8290429460070572
55,OK,44697,1139844.53,0.24688311724479456
56,OM,18,174.52,3.779992840037715e-05
57,ON,2747,43379.64,0.009395755707277886
58,OR,431700,6922949.0,1.4994669752433107
59,PA,454279,14343967.74,3.106812706562684
60,PE,17,207.0,4.483489100892774e-05
61,PG,2,5.0,1.0829683818581581e-06
62,PR,2370,136475.98,0.02955983424462127
63,QC,970,12702.6,0.002751302833478288
64,RI,48447,1647545.73,0.3568479866510836
65,RJ,1,10.0,2.1659367637163162e-06
66,RM,1,25.0,5.414841909290791e-06
67,SC,74723,2160444.73,0.46793866666841705
68,SD,10811,225889.9,0.04892632389622023
69,SH,2,50.0,1.0829683818581582e-05
70,SK,33,739.0,0.0001600627268386358
71,TN,122374,3756632.7,0.8136628872708888
72,TR,1,100.0,2.1659367637163165e-05
73,TX,848008,33681092.62,7.295111674779229
74,UK,1,50.0,1.0829683818581582e-05
75,UT,60915,2016569.02,0.4367760976989383
76,VA,361557,14846735.36,3.2157089937390997
77,VD,4,225.0,4.873357718361711e-05
78,VI,1516,79672.75,0.017256613829137915
79,VT,59562,1268902.53,0.27483626392996463
80,WA,574979,14850502.18,3.2165248631311294
81,WI,212997,5914272.75,1.2809940779870597
82,WV,30973,676865.7,0.1466048303728579
83,WY,13064,566867.77,0.12277997432088852
84,YT,64,4503.5,0.000975429621539643
85,ZH,7,168.0,3.638773763043411e-05
86,ZZ,20091,849589.67,0.1840157500326613
87,,268,13320.36,0.002885105742993627
